Rank,Priorytet,Score,Firma,Relacja,Segment,Kanał,Województwo,Miasto,Skala,Email,Telefon,Osoba/Dział decyzyjny,Stanowisko,WWW,Adres,NIP,KRS,Produkty/marki,Status,Owner,Następny krok,Uzasadnienie potencjału,Źródła,Uwagi
74,B — kampania regionalna,71,Buszek.com / Hurt.Buszek.com,Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt ogólnopolski,Ogólnopolska,Ogólnopolska,Średni,,,,,https://buszek.com,Poland-wide,,,"Akcesoria Tytoniowe | Headshop (Bonga, Shisha) | Tytoń | Hurt | Sklep Tytoniowy",Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Sprzedaż komplementarnych akcesoriów dla palaczy; zasięg ponadregionalny.,https://buszek.com,Nie potwierdzone | Status źródłowy: Niezweryfikowany
75,B — kampania regionalna,70,Smoke.pl / Smoke Shop,Partner cross-sell / kanał sąsiedni,S4 — Vape/e-papierosy,Hurt B2B + detal,Ogólnopolska,Łódź,Średni,,+48 452 454 726,,,https://smoke.pl,"Al. Marsz. Józefa Piłsudskiego 15/23, 90-307 Łódź, Polska",,,"Akcesoria Tytoniowe | Headshop (Bonga, Shisha) | Papierosy | Tytoń | Vape & E-papierosy | Hurt | Sklep Tytoniowy",Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi; zasięg ponadregionalny.,https://smoke.pl,Nie potwierdzone | Status źródłowy: Niezweryfikowany
76,B — kampania regionalna,70,"Zefir Sp. z o.o. — hurtownia papierosów, chemii gospodarczej i kosmetyków",Potencjalny reseller / odbiorca hurtowy,S2 — Hurtownie tytoniowe/FMCG,Hurt B2B regionalny,Podlaskie,Białystok,Średni,,,,,https://www.zefirhurt.com.pl,"ul. Jagienki 4, Białystok",,,Papierosy | Chemia gospodarcza | Kosmetyki | Produkty impulsowe | Tytoń | Chemia gospodarcza | Kosmetyki,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Dostęp do sklepów tytoniowych i tradycyjnego handlu.,https://www.pkt.pl/szukaj/hurtownia-papierosow | https://www.zefirhurt.com.pl,Status źródłowy: Do weryfikacji — katalog
77,B — kampania regionalna,69,Allegro: PAVOLT_pl,Potencjalny reseller / odbiorca hurtowy,"S1 — RYO/MYO, gilzy i nabijarki",Marketplace/sprzedawca online,Śląskie,,Nieustalona,sklep@pavolt.pl,+48 735 222 777,Właściciel / dział sprzedaży,Sprzedaż internetowa,https://allegro.pl/uzytkownik/PAVOLT_pl,"Główna 8, 42-256 Zrębice",,,Nabijarki | Akcesoria | Sprzedawca Allegro,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,"Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek.",https://pavolt.pl/kontakt-f-1.html | https://allegro.pl/uzytkownik/PAVOLT_pl,"Kilkanaście ofert, droższe urządzenia elektryczne. Dobry cel dla Bills ze stabilnym serwisem. | Status źródłowy: Niezweryfikowany"
78,B — kampania regionalna,69,Wojmar s.c.,Potencjalny reseller / odbiorca hurtowy,S2 — Hurtownie tytoniowe/FMCG,Hurt B2B regionalny,Lubelskie,,Nieustalona,wojmarsc1@gmail.com,514 183 2xx,,,,,,,Akcesoria | Tytoń,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Dostęp do sklepów tytoniowych i tradycyjnego handlu.,,Z listy BISTA
79,B — kampania regionalna,69,TOBACCO CONCEPT FACTORY,Potencjalny reseller / odbiorca hurtowy,S2 — Hurtownie tytoniowe/FMCG,Hurt B2B regionalny,Nieustalony,,Nieustalona,biuro@tcfgroup.eu,508 101 7xx,,,,,,,Akcesoria | Tytoń,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Dostęp do sklepów tytoniowych i tradycyjnego handlu.,,Z listy BISTA; kujawsko-pomorskie i małopolskie
80,B — kampania regionalna,69,P.H.U. TRANS,Potencjalny reseller / odbiorca hurtowy,S2 — Hurtownie tytoniowe/FMCG,Hurt B2B regionalny,Lubelskie,,Nieustalona,phnatiuk@wp.pl,504 392 4xx,,,,,,,Akcesoria | Tytoń,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Dostęp do sklepów tytoniowych i tradycyjnego handlu.,,Z listy BISTA
81,B — kampania regionalna,69,MATPIO Mariusz Wieliczko,Potencjalny reseller / odbiorca hurtowy,S2 — Hurtownie tytoniowe/FMCG,Hurt B2B regionalny,Lubelskie,,Nieustalona,wieli@o2.pl,609 774 7xx,,,,,,,Akcesoria | Tytoń,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Dostęp do sklepów tytoniowych i tradycyjnego handlu.,,Z listy BISTA
82,B — kampania regionalna,69,JABA Firma Handlowa,Potencjalny reseller / odbiorca hurtowy,S2 — Hurtownie tytoniowe/FMCG,Hurt B2B regionalny,Pomorskie,,Nieustalona,jbalcer352@gmail.com,604 680 xxx,,,,,,,Akcesoria | Tytoń,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Dostęp do sklepów tytoniowych i tradycyjnego handlu.,,Z listy BISTA
83,B — kampania regionalna,69,Świat Alkoholi,Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt B2B + detal,Śląskie,Mikołów,Nieustalona,,+48 32 738 08 93,,,http://www.swiatalkoholipolska.pl/sklepy/swiat-alkoholi-mikolow,"Krakowska 11, 43-196 Mikołów, Polska",,,Akcesoria Tytoniowe | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Sprzedaż komplementarnych akcesoriów dla palaczy.,http://www.swiatalkoholipolska.pl/sklepy/swiat-alkoholi-mikolow,Status źródłowy: Niezweryfikowany
84,B — kampania regionalna,69,Trafika Tabak IQOS Partner,Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt B2B + detal,Kujawsko-pomorskie,Inowrocław,Nieustalona,,+48 516 187 681,,,http://www.tabakpolska.com.pl,"Poznańska 100, 88-100 Inowrocław, Polska",,,Akcesoria Tytoniowe | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Sprzedaż komplementarnych akcesoriów dla palaczy.,http://www.tabakpolska.com.pl,Status źródłowy: Niezweryfikowany
85,B — kampania regionalna,69,Trafica-Hurt S.C. (smokyhub.pl),Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt B2B + detal,Lubelskie,Lublin,Nieustalona,,+48 81 744 30 40,,,http://smokyhub.pl,"Krochmalna 22A, 20-401 Lublin, Polska",,,Akcesoria Tytoniowe | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Sprzedaż komplementarnych akcesoriów dla palaczy.,http://smokyhub.pl,Status źródłowy: Niezweryfikowany
86,B — kampania regionalna,69,Tobacco Trading International Poland Sp. z o.o.,Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt B2B + detal,Małopolskie,Modlnica,Nieustalona,,+48 12 420 91 30,,,http://ttipoland.pl,"Częstochowska 38, 32-085 Modlnica, Polska",,,Akcesoria Tytoniowe | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Sprzedaż komplementarnych akcesoriów dla palaczy.,http://ttipoland.pl,Status źródłowy: Niezweryfikowany
87,B — kampania regionalna,69,Teks S.A.,Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt B2B + detal,Świętokrzyskie,Radom,Nieustalona,,+48 48 365 25 07,,,http://www.tekssa.pl,"Biznesowa 8, 26-600 Radom, Polska",,,Akcesoria Tytoniowe | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Sprzedaż komplementarnych akcesoriów dla palaczy.,http://www.tekssa.pl,Status źródłowy: Niezweryfikowany
88,B — kampania regionalna,69,Supra - Papierosy dla klientów hurtowych,Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt B2B + detal,Małopolskie,Nowy Targ,Nieustalona,,+48 600 336 100,,,https://e-supra.pl,"Ludźmierska 29, 34-400 Nowy Targ, Polska",,,Akcesoria Tytoniowe | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Sprzedaż komplementarnych akcesoriów dla palaczy.,https://e-supra.pl,Status źródłowy: Niezweryfikowany
89,B — kampania regionalna,69,"Sklep po schodkach - piwo, wino, tanie papierosy",Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt B2B + detal,Mazowieckie,Warszawa,Nieustalona,,+48 518 985 675,,,http://www.profinanceline.pl,"Zamieniecka 92, 04-158 Warszawa, Polska",,,Akcesoria Tytoniowe | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Sprzedaż komplementarnych akcesoriów dla palaczy.,http://www.profinanceline.pl,Status źródłowy: Niezweryfikowany
90,B — kampania regionalna,69,Sherlock Trafika,Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt B2B + detal,Mazowieckie,Warszawa,Nieustalona,,+48 606 163 537,,,http://sherlocktrafika.pl,"Centrum LIM hotelu Marriott (podziemia) poziom -1, Al. Jerozolimskie 65/79, 00-697 Warszawa, Polska",,,Akcesoria Tytoniowe | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Sprzedaż komplementarnych akcesoriów dla palaczy.,http://sherlocktrafika.pl,Status źródłowy: Niezweryfikowany
91,B — kampania regionalna,69,Selgros,Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt B2B + detal,Śląskie,Bytom,Nieustalona,,+48 32 768 80 00,,,http://www.selgros.pl,"Chorzowska 88a, 41-910 Bytom, Polska",,,Akcesoria Tytoniowe | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Sprzedaż komplementarnych akcesoriów dla palaczy.,http://www.selgros.pl,Status źródłowy: Niezweryfikowany
92,B — kampania regionalna,69,SOFLY,Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt B2B + detal,Dolnośląskie,Świdnica,Nieustalona,,+48 531 263 336,,,https://sofly.club,"Westerplatte 18, 58-100 Świdnica, Polska",,,Akcesoria Tytoniowe | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Sprzedaż komplementarnych akcesoriów dla palaczy.,https://sofly.club,Status źródłowy: Niezweryfikowany
93,B — kampania regionalna,69,SAT Tomasz Sromek,Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt B2B + detal,Małopolskie,Nowy Sącz,Nieustalona,,+48 18 444 40 30,,,http://hurtowniasat.pl,"Romana Stramki 8/10, 33-300 Nowy Sącz, Polska",,,Akcesoria Tytoniowe | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Sprzedaż komplementarnych akcesoriów dla palaczy.,http://hurtowniasat.pl,Status źródłowy: Niezweryfikowany
94,B — kampania regionalna,69,Redo Sp. z o.o. Hurtownia alkoholu,Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt B2B + detal,Podlaskie,Augustów,Nieustalona,,+48 87 643 23 62,,,"http://www.redo.pl/?pl,kontakt","Tytoniowa 10, 16-300 Augustów, Polska",,,Akcesoria Tytoniowe | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Sprzedaż komplementarnych akcesoriów dla palaczy.,"http://www.redo.pl/?pl,kontakt",Status źródłowy: Niezweryfikowany
95,B — kampania regionalna,69,Polska Grupa Tytoniowa,Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt B2B + detal,Kujawsko-pomorskie,Bydgoszcz,Nieustalona,,+48 502 494 942,,,http://www.b2b.katalogpgt.pl,"Pińczowska 8, 85-877 Bydgoszcz, Polska",,,Akcesoria Tytoniowe | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Sprzedaż komplementarnych akcesoriów dla palaczy.,http://www.b2b.katalogpgt.pl,Status źródłowy: Niezweryfikowany
96,B — kampania regionalna,69,PHUP Gniezno Szeszycki sp.k.,Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt B2B + detal,Opolskie,Gniezno,Nieustalona,,+48 512 984 347,,,http://www.phupgniezno.pl,"Orcholska 41, 62-200 Gniezno, Polska",,,Akcesoria Tytoniowe | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Sprzedaż komplementarnych akcesoriów dla palaczy.,http://www.phupgniezno.pl,Status źródłowy: Niezweryfikowany
97,B — kampania regionalna,69,P.H Mars sp.j,Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt B2B + detal,Dolnośląskie,Kamienna Góra,Nieustalona,,+48 75 744 38 77,,,https://hurtowniamars.pl,"58-400 Kamienna Góra, Polska",,,Akcesoria Tytoniowe | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Sprzedaż komplementarnych akcesoriów dla palaczy.,https://hurtowniamars.pl,Status źródłowy: Niezweryfikowany
98,B — kampania regionalna,69,Mona hurtownia papierosów,Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt B2B + detal,Małopolskie,Kraków,Nieustalona,,+48 697 590 090,,,http://www.mona.com.pl,"Saska 27, 30-720 Kraków, Polska",,,Akcesoria Tytoniowe | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Sprzedaż komplementarnych akcesoriów dla palaczy.,http://www.mona.com.pl,Status źródłowy: Niezweryfikowany
99,B — kampania regionalna,69,Lever Hurtownia Alkoholu i Papierosów,Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt B2B + detal,Lubelskie,Kraśnik,Nieustalona,,+48 81 825 02 17,,,https://leverkrasnik.pl,"Kolejowa 8, 23-200 Kraśnik, Polska",,,Akcesoria Tytoniowe | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Sprzedaż komplementarnych akcesoriów dla palaczy.,https://leverkrasnik.pl,Status źródłowy: Niezweryfikowany
100,B — kampania regionalna,69,JUKA AKCESORIA TYTONIOWE JACEK MULARCZYK,Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt B2B + detal,Pomorskie,Gdańsk,Nieustalona,,+48 723 179 629,,,https://jukaakcesoria.pl,"Jabłoniowa 56B, 80-175 Gdańsk, Polska",,,Akcesoria Tytoniowe | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Sprzedaż komplementarnych akcesoriów dla palaczy.,https://jukaakcesoria.pl,Status źródłowy: Niezweryfikowany
101,B — kampania regionalna,69,Hurtownia Papiernicza GRAFIT,Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt B2B + detal,Kujawsko-pomorskie,Inowrocław,Nieustalona,,+48 52 391 24 17,,,http://hpgrafit.pl,"Poznańska 223, 88-100 Inowrocław, Polska",,,Akcesoria Tytoniowe | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Sprzedaż komplementarnych akcesoriów dla palaczy.,http://hpgrafit.pl,Status źródłowy: Niezweryfikowany
102,B — kampania regionalna,69,Hurtownia Centrum Wiesław Sacharski,Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt B2B + detal,Mazowieckie,Ostrołęka,Nieustalona,,+48 29 766 42 22,,,https://centrum-ws.pl,"Targowa 39G, 07-410 Ostrołęka, Polska",,,Akcesoria Tytoniowe | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Sprzedaż komplementarnych akcesoriów dla palaczy.,https://centrum-ws.pl,Status źródłowy: Niezweryfikowany
103,B — kampania regionalna,69,Hero Sp. z o.o. PW. Hurtownia nabiałowo - spożywcza,Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt B2B + detal,Kujawsko-pomorskie,Nakło Nad Notecią,Nieustalona,,+48 52 385 42 04,,,http://www.hurtowniahero.pl,"Przecznica 1, 89-100 Nakło nad Notecią, Polska",,,Akcesoria Tytoniowe | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Sprzedaż komplementarnych akcesoriów dla palaczy.,http://www.hurtowniahero.pl,Status źródłowy: Niezweryfikowany
104,B — kampania regionalna,69,Frega Hurtownia Papierosów Oddział Tarnów,Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt B2B + detal,Małopolskie,Tarnów,Nieustalona,,+48 14 626 87 17,,,http://frega.com.pl,"Czerwona 54A, 33-100 Tarnów, Polska",,,Akcesoria Tytoniowe | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Sprzedaż komplementarnych akcesoriów dla palaczy.,http://frega.com.pl,Status źródłowy: Niezweryfikowany
105,B — kampania regionalna,69,Firma Handlowa Mariusz Kawa,Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt B2B + detal,Małopolskie,Tarnów,Nieustalona,,+48 14 629 52 52,,,http://www.squashtarnow.pl,"Spokojna 20C, 33-100 Tarnów, Polska",,,Akcesoria Tytoniowe | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Sprzedaż komplementarnych akcesoriów dla palaczy.,http://www.squashtarnow.pl,Status źródłowy: Niezweryfikowany
106,B — kampania regionalna,69,FLAJ | Sklep i Hurtownia w Augustowie,Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt B2B + detal,Podlaskie,Augustów,Nieustalona,,+48 87 644 53 58,,,https://flaj.com.pl,"Tytoniowa 7, 16-300 Augustów, Polska",,,Akcesoria Tytoniowe | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Sprzedaż komplementarnych akcesoriów dla palaczy.,https://flaj.com.pl,Status źródłowy: Niezweryfikowany
107,B — kampania regionalna,69,Eurocash Cash & Carry Wągrowiec - Hurtownia spożywcza,Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt B2B + detal,Opolskie,Wągrowiec,Nieustalona,,+48 67 268 52 12,,,https://hurtownie.eurocash.pl/kontakt/mapa-hurtowni/hurtownie.html?provinceId=8&cityId=112,"Gnieźnieńska 72, 62-100 Wągrowiec, Polska",,,Akcesoria Tytoniowe | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Sprzedaż komplementarnych akcesoriów dla palaczy.,https://hurtownie.eurocash.pl/kontakt/mapa-hurtowni/hurtownie.html?provinceId=8&cityId=112,Status źródłowy: Niezweryfikowany
108,B — kampania regionalna,69,Elroy sp.j. Biuro handlowe,Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt B2B + detal,Kujawsko-pomorskie,Włocławek,Nieustalona,,+48 54 231 17 10,,,http://www.elroy.pl,"Wojska Polskiego 18A, 87-810 Włocławek, Polska",,,Akcesoria Tytoniowe | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Sprzedaż komplementarnych akcesoriów dla palaczy.,http://www.elroy.pl,Status źródłowy: Niezweryfikowany
109,B — kampania regionalna,69,Carmen Polska Sp. z o.o.,Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt B2B + detal,Mazowieckie,Warszawa,Nieustalona,,+48 22 868 14 49,,,http://carmen.biz.pl,"Łopuszańska 24D, 02-220 Warszawa, Polska",,,Akcesoria Tytoniowe | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Sprzedaż komplementarnych akcesoriów dla palaczy.,http://carmen.biz.pl,Status źródłowy: Niezweryfikowany
110,B — kampania regionalna,69,ASW Trafika,Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt B2B + detal,Kujawsko-pomorskie,Bydgoszcz,Nieustalona,,+48 730 720 551,,,https://web.facebook.com/ASW-Trafika-Sklep-Tytoniowy-486411178214372,"Jeremiego Przybory 1G, 85-791 Bydgoszcz, Polska",,,Akcesoria Tytoniowe | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Sprzedaż komplementarnych akcesoriów dla palaczy.,https://web.facebook.com/ASW-Trafika-Sklep-Tytoniowy-486411178214372,Status źródłowy: Niezweryfikowany
111,B — kampania regionalna,69,"ABC. Hurtownia papierosów, art. chemiczno - kosmetyczno - higienicznych, Krówka Kaszubska",Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt B2B + detal,Pomorskie,Władysławowo,Nieustalona,,+48 58 674 24 40,,,http://www.hurtabc.pl,"Harcerska 8, 84-120 Władysławowo, Polska",,,Akcesoria Tytoniowe | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Sprzedaż komplementarnych akcesoriów dla palaczy.,http://www.hurtabc.pl,Status źródłowy: Niezweryfikowany
112,B — kampania regionalna,68,Liquider Poland Sp. z o.o. Sp.k.,Partner strategiczny / producent,S4 — Vape/e-papierosy,Producent,Opolskie,Jasin,Duży,b2b@liquider.pl,+48 694 577 879,,,https://b2b.liquider.pl,"ul. Poznańska 21, 62-020 Jasin",,,Liquidy | Premixy | Bazy | Akcesoria vape | Vape | Liquidy | CBD,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi.,https://b2b.liquider.pl/o-nas | https://liquider.eu/ | https://b2b.liquider.pl,Status źródłowy: Zweryfikowany — aktywna strona/B2B
113,B — kampania regionalna,68,Hurtownia papierosów — Szczytno,Potencjalny reseller / odbiorca hurtowy,S2 — Hurtownie tytoniowe/FMCG,Hurt B2B regionalny,Warmińsko-mazurskie,Szczytno,Mały–średni,,+48 89 624 07 57,,,,"ul. Osuchowskiego 15, Szczytno",,,Papierosy | Wyroby tytoniowe | Tytoń,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Dostęp do sklepów tytoniowych i tradycyjnego handlu.,https://www.pkt.pl/szukaj/hurtownia-papierosow,Status źródłowy: Do weryfikacji — katalog
114,B — kampania regionalna,68,Hurtownia papierosów — Mostki,Potencjalny reseller / odbiorca hurtowy,S2 — Hurtownie tytoniowe/FMCG,Hurt B2B regionalny,Lubuskie,Mostki,Mały–średni,,+48 68 381 12 26,,,,Mostki 15,,,Papierosy | Wyroby tytoniowe | Tytoń,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Dostęp do sklepów tytoniowych i tradycyjnego handlu.,https://www.pkt.pl/szukaj/hurtownia-papierosow,Status źródłowy: Do weryfikacji — katalog
115,B — kampania regionalna,68,Hurtownia papierosów — Koluszki,Potencjalny reseller / odbiorca hurtowy,S2 — Hurtownie tytoniowe/FMCG,Hurt B2B regionalny,Łódzkie,Koluszki,Mały–średni,,+48 601 153 355,,,,"ul. Sikorskiego 11, Koluszki",,,Papierosy | Wyroby tytoniowe | Tytoń,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Dostęp do sklepów tytoniowych i tradycyjnego handlu.,https://www.pkt.pl/szukaj/hurtownia-papierosow,Status źródłowy: Do weryfikacji — katalog
116,B — kampania regionalna,68,Hurtownia papierosów — Czerwionka-Leszczyny,Potencjalny reseller / odbiorca hurtowy,S2 — Hurtownie tytoniowe/FMCG,Hurt B2B regionalny,Śląskie,Czerwionka-Leszczyny,Mały–średni,,+48 32 431 37 62,,,,"ul. Kwiatowa 17, Czerwionka-Leszczyny",,,Papierosy | Wyroby tytoniowe | Tytoń,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Dostęp do sklepów tytoniowych i tradycyjnego handlu.,https://www.pkt.pl/szukaj/hurtownia-papierosow,Status źródłowy: Do weryfikacji — katalog
117,B — kampania regionalna,68,"EM — hurtownia papierosów, artykułów przemysłowych i spożywczych",Potencjalny reseller / odbiorca hurtowy,S2 — Hurtownie tytoniowe/FMCG,Hurt B2B regionalny,Łódzkie,Łęczyca,Mały–średni,,+48 24 721 22 97,,,,"ul. Tumska, Łęczyca",,,Papierosy | FMCG | Produkty impulsowe | Tytoń | FMCG | Artykuły przemysłowe,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Dostęp do sklepów tytoniowych i tradycyjnego handlu.,https://www.pkt.pl/szukaj/hurtownia-papierosow,Status źródłowy: Do weryfikacji — katalog
