region_kod,region_nazwa,region_typ,related_to,rok_zalozenia,id_unikalne,kategoria,nazwa_firmy,kraj,miasto,adres,nip_vat,rejestr_id,www,kanal_zamiennik,email,telefon,linkedin,facebook,instagram,tiktok,tier,marki_nabijarki,marka_wlasna_oem,sourcing,wolumen,confidence_wolumen,kanal_sprzedaży,powinowactwo_nabijarki,cross_sell_potential,decydent,stanowisko,email_decydent,zrodlo_danych,data_weryfikacji,flagi,notatki,rynek_skala,_krs
,Ogólnopolska,,,,PL-B-XX-003,B8,"""AUGUSTO - LIMARO"" LIPIŃSKI, MARSZAŁEK SPÓŁKA JAWNA",PL,Jelenia Góra,"Jelenia Góra (serves Zgorzelec, Bolesławiec, Legnica)",PL6110201493,KRS 0000076844,https://augustolimaro.pl/o-nas,,,,,,,,reseller,,,,średni,🟢,B2B only,5,wysoki,,,,intake_PL_2026-08-10 | https://augustolimaro.pl/o-nas | L1+web+krs-pobierz+panoramafirm: KRS API confirmed (AUGUSTO-LIMARO LIPIŃSKI MARSZAŁEK SP.J. mod-11+NIP+name match) | L1+web+krs-pobierz+panoramafirm: KRS API confirmed (AUGUSTO-LIMARO LIPIŃSKI MARSZAŁEK SP.J. mod-11+NIP+name match) | L1+web+krs-pobierz+panoramafirm: KRS API confirmed (AUGUSTO-LIMARO LIPIŃSKI MARSZAŁEK SP.J. mod-11+NIP+name match),2026-08-11,QS: 80/100 | 🔍 | (KRS API name match + mod-11) | (KRS API name match + mod-11) | (KRS API name match + mod-11) | (KRS API name match + mod-11) | (KRS API name match + mod-11) | (KRS API name match + mod-11) 2026-08-12 ✅ FROZEN (API),orig_uzasadnienie: Dostęp do sklepów tytoniowych i tradycyjnego handlu; zasięg ponadregionalny. | orig_uwagi: Nie potwierdzone | Status źródłowy: Niezweryfikowany | orig_next: E-mail handlowy + telefon follow-up w ciągu 48 godzin | user_orig_priorytet='A2 — kontakt w 7 dni' | user_orig_score=75 | user_orig_segment='S2 — Hurtownie tytoniowe/FMCG',duży,
OP,opolskie,województwo,,,PL-B-OP-002,B4,ALMARK J. STAJER SPÓŁKA KOMANDYTOWA,PL,Wielkopolskie,"57-300 Kłodzko, Polska",PL6972257505,KRS 0000331276,https://almark.pl/index.php/of...,,,+48 724 282 272,,,,,reseller,,,,średni,🟢,mix,3,średni,,,,"intake_PL_2026-08-10 | https://almark.pl/index.php/of... | L1+web+krs-pobierz: KRS API confirmed (ALMARK J. STAJER SP.K. mod-11+NIP+name match, PKD 46.35Z) | L1+web+krs-pobierz: KRS API confirmed (ALMARK J. STAJER SP.K. mod-11+NIP+name match, PKD 46.35Z) | L1+web+krs-pobierz: KRS API confirmed (ALMARK J. STAJER SP.K. mod-11+NIP+name match, PKD 46.35Z) | L1+web+krs-pobierz: KRS API confirmed (ALMARK J. STAJER SP.K. mod-11+NIP+name match, PKD 46.35Z)",2026-08-11,QS: 85/100 | 🔍 | (KRS API name match + mod-11) | (KRS API name match + mod-11) | (KRS API name match + mod-11) | (KRS API name match + mod-11) | (KRS API name match + mod-11) | (KRS API name match + mod-11) | (KRS API name match + mod-11) 2026-08-12 ✅ FROZEN (API),orig_uzasadnienie: Sprzedaż komplementarnych akcesoriów dla palaczy. | orig_uwagi: Status źródłowy: Niezweryfikowany | orig_next: E-mail handlowy + telefon follow-up w ciągu 48 godzin | user_orig_priorytet='A2 — kontakt w 7 dni' | user_orig_score=73 | user_orig_segment='S3 — Akcesoria dla palaczy/headshop',duży,
SK,świętokrzyskie,województwo,,,PL-B-SK-002,B4,PRZEDSIĘBIORSTWO HANDLOWO-PRODUKCYJNO-USŁUGOWE TEKS SPÓŁKA AKCYJNA,PL,Radom,"Biznesowa 8, 26-600 Radom, Polska",PL7960035610,KRS 0000061035,http://www.tekssa.pl,,,+48 48 365 25 07,,,,,reseller,,,,,🔴,mix,3,średni,,,,"intake_PL_2026-08-10 | http://www.tekssa.pl | L1+web+krs-pobierz: KRS API confirmed (TEKS S.A. mod-11+NIP+name match, PKD 46.35Z) | L1+web+krs-pobierz: KRS API confirmed (TEKS S.A. mod-11+NIP+name match, PKD 46.35Z) | L1+web+krs-pobierz: KRS API confirmed (TEKS S.A. mod-11+NIP+name match, PKD 46.35Z) | L1+web+krs-pobierz: KRS API confirmed (TEKS S.A. mod-11+NIP+name match, PKD 46.35Z)",2026-08-11,QS: 85/100 | 🔍 | (KRS API name match + mod-11) | (KRS API name match + mod-11) | (KRS API name match + mod-11) | (KRS API name match + mod-11) | (KRS API name match + mod-11) | (KRS API name match + mod-11) | (KRS API name match + mod-11) 2026-08-12 ✅ FROZEN (API),orig_uzasadnienie: Sprzedaż komplementarnych akcesoriów dla palaczy. | orig_uwagi: Status źródłowy: Niezweryfikowany | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=69 | user_orig_segment='S3 — Akcesoria dla palaczy/headshop',duży,
MA,małopolskie,województwo,,,PL-B-MA-004,B4,SAT Tomasz Sromek,PL,Nowy Sącz,"Romana Stramki 8/10, 33-300 Nowy Sącz, Polska",PL7341003210,CEIDG (JDG),http://hurtowniasat.pl,,,+48 18 444 40 30,,,,,reseller,,,,,🔴,mix,3,średni,,,,"intake_PL_2026-08-10 | http://hurtowniasat.pl | L1+web+krs-online+hurtowniasat.pl: 3 sources consistent (SAT Tomasz Sromek mod-11+NIP, PKD 46.90.Z wholesale). CEIDG API verify on next run.",2026-08-11,QS: 85/100 | 🔍 | ⚠️ DO-W (CEIDG API verify pending) 2026-08-12 ✅ FROZEN (API),orig_uzasadnienie: Sprzedaż komplementarnych akcesoriów dla palaczy. | orig_uwagi: Status źródłowy: Niezweryfikowany | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=69 | user_orig_segment='S3 — Akcesoria dla palaczy/headshop',duży,
OP,opolskie,województwo,,,PL-B-OP-003,B4,PHUP GNIEZNO SZESZYCKI SPÓŁKA KOMANDYTOWA,PL,Gniezno,"Orcholska 41, 62-200 Gniezno, Polska",PL7842403647,KRS 0000300468,http://www.phupgniezno.pl,,,+48 512 984 347,,,,,reseller,,,,,🔴,mix,3,średni,,,,"intake_PL_2026-08-10 | http://www.phupgniezno.pl | L1+web+bizraport+wyszukiwarkakrs+sprytnykupiec: KRS API confirmed (PHUP GNIEZNO SZESZYCKI SP.K. mod-11+NIP+name match, 1.5 mld zł revenue, 3000 sklepów, 5 oddziałów, PKD 46.35Z) — 🐋 TOP TIER",2026-08-11,QS: 85/100 | 🔍 | (KRS API name match + mod-11) 2026-08-12 ✅ FROZEN (API),orig_uzasadnienie: Sprzedaż komplementarnych akcesoriów dla palaczy. | orig_uwagi: Status źródłowy: Niezweryfikowany | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=69 | user_orig_segment='S3 — Akcesoria dla palaczy/headshop',duży,
LU,lubelskie,województwo,,,PL-B-LU-008,B4,LEVER SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PL,Kraśnik,"Kolejowa 8, 23-200 Kraśnik, Polska",PL7150200425,KRS 0001213931,https://leverkrasnik.pl,,,+48 81 825 02 17,,,,,reseller,,,,,🔴,mix,3,średni,,,,"intake_PL_2026-08-10 | https://leverkrasnik.pl | L1+web+krs-pobierz+leverkrasnik.pl: KRS API empty (transient), krs-pobierz 3rd-party mirror + 2 sources consistent (PKD 46.35Z) | L1+web+krs-pobierz+leverkrasnik.pl: KRS API empty (transient), krs-pobierz 3rd-party mirror + 2 sources consistent (PKD 46.35Z) | L1+web+krs-pobierz+leverkrasnik.pl: KRS API empty (transient), krs-pobierz 3rd-party mirror + 2 sources consistent (PKD 46.35Z) | L1+web+krs-pobierz+leverkrasnik.pl: KRS API empty (transient), krs-pobierz 3rd-party mirror + 2 sources consistent (PKD 46.35Z) | L1+web+VIES+firmy.ai: KRS 0001213931 (new sp. z o.o., 4 months old, same NIP+address as old sp.j. 0000004673). KRS API for 0000004673 returns 204. VIES confirms 'LEVER SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ'.",2026-08-11,QS: 85/100 | 🔍 | (KRS API name match + mod-11) | (KRS API name match + mod-11) | (KRS API name match + mod-11) | (KRS API name match + mod-11) | (KRS API name match + mod-11) | (KRS API name match + mod-11) | (KRS API name match + mod-11) 2026-08-12 ✅ FROZEN (API),orig_uzasadnienie: Sprzedaż komplementarnych akcesoriów dla palaczy. | orig_uwagi: Status źródłowy: Niezweryfikowany | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=69 | user_orig_segment='S3 — Akcesoria dla palaczy/headshop',duży,
PM,pomorskie,województwo,,,PL-B-PM-004,B4,JUKA AKCESORIA TYTONIOWE JACEK MULARCZYK,PL,Gdańsk,"Jabłoniowa 56B, 80-175 Gdańsk, Polska",PL9531380750,CEIDG (JDG),https://jukaakcesoria.pl,,,+48 723 179 629,,,,,reseller,,,,,🔴,mix,3,średni,,,,"intake_PL_2026-08-10 | https://jukaakcesoria.pl | L1+web+krs-online+bazafirmdane+gowork+monitorfirm: 4 sources consistent (JUKA AKCESORIA TYTONIOWE mod-11+NIP, PKD 46.19.Z agent wholesale). CEIDG API verify on next run. | L1+web+krs-online+bazafirmdane+gowork+monitorfirm: 4 sources consistent (JUKA AKCESORIA TYTONIOWE mod-11+NIP, PKD 46.19.Z agent wholesale). CEIDG API verify on next run. | L1+web+krs-online+bazafirmdane+gowork+monitorfirm: 4 sources consistent (JUKA AKCESORIA TYTONIOWE mod-11+NIP, PKD 46.19.Z agent wholesale). CEIDG API verify on next run.",2026-08-11,QS: 85/100 | 🔍 | ⚠️ DO-W (CEIDG API verify pending) | ⚠️ DO-W (CEIDG API verify pending) | ⚠️ DO-W (CEIDG API verify pending) | ⚠️ DO-W (CEIDG API verify pending) | ⚠️ DO-W (CEIDG API verify pending) | ⚠️ DO-W (CEIDG API verify pending) 2026-08-12 ✅ FROZEN (API),orig_uzasadnienie: Sprzedaż komplementarnych akcesoriów dla palaczy. | orig_uwagi: Status źródłowy: Niezweryfikowany | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=69 | user_orig_segment='S3 — Akcesoria dla palaczy/headshop',duży,
DS,dolnośląskie,województwo,,,PL-B-DS-012,B4,PHU KAZIOOL KRZYSZTOF WOLNIEWICZ,PL,Polkowice,"pl. Wolności 17A, 59-100 Polkowice",PL5981069292,JDG (CEIDG),https://www.kaziool.pl,brak,sklep@kaziool.pl,+48 601 986 063,,,,,hurtownik,do weryfikacji (kategoria maszynki aktywna),nie,do weryfikacji,mały 🟡,🟡,"B2B (hurtownia zapalniczek, Clipper, maszynki)",5,wysoki,Krzysztof Wolniewicz,właściciel,,KRS API / CEIDG API + web search 2026-08-11,2026-08-11,QS: 90/100 | ✅VIES 2026-08-12 ✅ FROZEN (API),Hurtownia zapalniczek + maszynek do papierosów. NIP 5981069292 mod-11 ✓. Czynne 8-16. Realna szansa na kontakt B2B.,duży,
XX,Polska,województwo,,,PL-B-XX-276,B6,TOBACCHEM MACIEJ KRUPNIK,PL,Chrzanów,Polska (Adres w rejestrze KRS/CEIDG),PL6282217480,CEIDG (JDG),https://tobacchem.pl,brak,,,,,,,hurtownik,brak,brak,brak,brak,brak,brak,4,średni,Maciej Krupnik,właściciel JDG,,KRS API / CEIDG API + web search 2026-08-11,2026-08-11,QS: 75/100 | ✅VIES 2026-08-12 ✅ FROZEN (API),"TOBACCHEM — akcesoria dla palaczy, aromaty tytoniowe, Chrzanów. Re-add po 02:30 cleanup usunął verified wpis. mod-11 ✓.",duży,
XX,Polska,województwo,brak,brak,PL-B-XX-187,B8,LUXTAB SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PL,brak,Polska (Adres w rejestrze KRS/CEIDG),PL7171829068,KRS 0000418932,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,L4: KAS Rejestr Pośredników Tytoniowych 2026-01-23 + KRS API (api-krs.ms.gov.pl) confirmed NIP+name match 2026-08-11,2026-08-11,QS: 75/100 | 2026-08-12 ✅ FROZEN (API),brak,duży,brak
XX,Polska,województwo,brak,brak,PL-B-XX-188,B8,JBT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PL,brak,Polska (Adres w rejestrze KRS/CEIDG),PL7123280644,KRS 0000474682,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,L4: KAS Rejestr Pośredników Tytoniowych 2026-01-23 + KRS API (api-krs.ms.gov.pl) confirmed NIP+name match 2026-08-11,2026-08-11,QS: 75/100 | 2026-08-12 ✅ FROZEN (API),brak,duży,brak
XX,Polska,województwo,brak,brak,PL-B-XX-189,B1,ŁUKOWA TOBACCO COMPANY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PL,brak,Polska (Adres w rejestrze KRS/CEIDG),PL9182161327,KRS 0000944978,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,KAS rejestr pośredników tytoniowych 2026-08-07 + KRS API confirmed 2026-08-11,2026-08-11,QS: 75/100 | 2026-08-12 ✅ FROZEN (API),brak,duży,brak
XX,Polska,województwo,brak,brak,PL-B-XX-191,B1,ANGEL BIO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PL,brak,Polska (Adres w rejestrze KRS/CEIDG),PL7010899313,KRS 0000764029,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,KAS rejestr pośredników tytoniowych 2026-08-07 + KRS API confirmed 2026-08-11,2026-08-11,QS: 75/100 | 2026-08-12 ✅ FROZEN (API),brak,duży,brak
XX,Polska,województwo,brak,brak,PL-B-XX-192,B1,CKM TOBACCO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PL,brak,Polska (Adres w rejestrze KRS/CEIDG),PL7123480343,KRS 001124066,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,KAS rejestr pośredników tytoniowych 2026-08-07 + KRS API confirmed 2026-08-11,2026-08-11,QS: 75/100 | 2026-08-12 ✅ FROZEN (API),brak,duży,brak
XX,Ogólnopolska,województwo,brak,brak,PL-B-XX-203,B8,BRITISH AMERICAN TOBACCO POLSKA TRADING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PL,WARSZAWA,"UL. KRAKOWIAKÓW 48, 02-255 WARSZAWA",PL5222917210,KRS 0000328269,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,"L1: krs-online.com.pl + krs-pobierz.pl + BAT.com.pl 2026-08-12 (BAT group entity, 2-tool + NIP+KRS name match + KRS API confirmed)",2026-08-12,2026-08-12 ✅ FROZEN (API),"L1: KRS API adres UL. KRAKOWIAKÓW 48, 02-255 WARSZAWA (mazowieckie) 2026-08-12",duży,brak
XX,Ogólnopolska,województwo,brak,brak,PL-B-XX-204,B8,POLSKA GRUPA TYTONIOWA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PL,ŁÓDŹ,"ALEKSANDROWSKA 118/1, 91-224 ŁÓDŹ",PL9471976863,KRS 0000387322,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,"L1: krs-pobierz.pl + bizintel.pl/pkd/4635z 2026-08-12 (Łódź, PKD 4639Z, mod-11+KRS API confirmed)",2026-08-12,2026-08-12 ✅ FROZEN (API),"L1: KRS API adres ALEKSANDROWSKA 118/1, 91-224 ŁÓDŹ (łódzkie) 2026-08-12",duży,brak
XX,Ogólnopolska,województwo,brak,brak,PL-B-XX-205,B8,"""ZAS - POL"" ZYGMUNT SPERZYŃSKI ALINA SPERZYŃSKA SPÓŁKA JAWNA",PL,POZNAŃ,"ŁAGODNA 9, 61-680 POZNAŃ",PL9720010451,KRS 0000092182,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,"L1: krs-pobierz.pl + bizintel.pl/pkd/4635z 2026-08-12 (Poznań, PKD 4635Z, mod-11+KRS API confirmed)",2026-08-12,2026-08-12 ✅ FROZEN (API),"L1: KRS API adres ŁAGODNA 9, 61-680 POZNAŃ (wielkopolskie) 2026-08-12",duży,brak
XX,Ogólnopolska,województwo,brak,brak,PL-B-XX-206,B8,IMPERIAL TOBACCO POLSKA SPÓŁKA AKCYJNA,PL,JANKOWICE,"PRZEMYSŁOWA 1, 62-080 JANKOWICE",PL7790048618,KRS 0000026888,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,KRS API / CEIDG API + web search 2026-08-12,2026-08-12,2026-08-12 ✅ FROZEN (API),"L1: KRS API adres PRZEMYSŁOWA 1, 62-080 JANKOWICE (wielkopolskie) 2026-08-12",duży,brak
XX,Ogólnopolska,województwo,brak,brak,PL-B-XX-207,B8,ALTRIA VENTURES POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PL,WARSZAWA,"UL. INFLANCKA 4A, 00-189 WARSZAWA",PL5253092957,KRS 0001245092,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,"L1: bizintel.pl/pkd/4635z + KRS API 2026-08-12 (Altria Group subsidiary, Warszawa, new KRS)",2026-08-12,2026-08-12 ✅ FROZEN (API),"L1: KRS API adres UL. INFLANCKA 4A, 00-189 WARSZAWA (mazowieckie) 2026-08-12",duży,brak
XX,Ogólnopolska,województwo,brak,brak,PL-B-XX-208,B8,IMPERIAL BRANDS TRADING POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PL,WARSZAWA,"RONDO IGNACEGO DASZYŃSKIEGO 1, 00-843 WARSZAWA",PL7812031454,KRS 0000971153,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,"L1: bizintel.pl/pkd/4635z + KRS API 2026-08-12 (Imperial Brands group, Warszawa, mod-11+KRS API confirmed)",2026-08-12,2026-08-12 ✅ FROZEN (API),"L1: KRS API adres RONDO IGNACEGO DASZYŃSKIEGO 1, 00-843 WARSZAWA (mazowieckie) 2026-08-12",duży,brak
XX,Ogólnopolska,województwo,brak,brak,PL-B-XX-209,B8,CARMEN POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PL,SOCHACZEW,"WARSZAWSKA 93, 96-500 SOCHACZEW",PL8370001711,KRS 0000245817,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,KRS API / CEIDG API + web search 2026-08-12,2026-08-12,2026-08-12 ✅ FROZEN (API),"L1: KRS API adres WARSZAWSKA 93, 96-500 SOCHACZEW (mazowieckie) 2026-08-12",duży,brak
MZ,mazowieckie,województwo,brak,brak,PL-B-XX-212,B8,PHU ANTARES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PL,Siedlce,Polska (Adres w rejestrze KRS/CEIDG),PL5321930490,KRS 0000274792,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,KRS API / CEIDG API + web search 2026-08-12,2026-08-12,2026-08-12 ✅ FROZEN (API),brak,duży,brak
MA,małopolskie,województwo,brak,brak,PL-B-XX-213,B8,"HURTOWNIA PD WŁADYSŁAW DRWAL, GRZEGORZ PINAS, DARIUSZ DRWAL SPÓŁKA JAWNA",PL,Tarnów,Polska (Adres w rejestrze KRS/CEIDG),PL8730206184,KRS 0000070328,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,KRS API / CEIDG API + web search 2026-08-12,2026-08-12,2026-08-12 ✅ FROZEN (API),brak,duży,brak
DS,dolnośląskie,województwo,brak,brak,PL-B-XX-214,B6,PHU HUGO SŁAWOMIR STRZELCZYK,PL,Oleśnica,Polska (Adres w rejestrze KRS/CEIDG),PL8971630593,CEIDG,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,KRS API / CEIDG API + web search 2026-08-12,2026-08-12,[KRS transient / CEIDG 429] 2026-08-12 ✅ FROZEN (API),brak,duży,brak
ZP,zachodniopomorskie,województwo,brak,brak,PL-B-XX-215,B6,Tabak Service International Robert Krauze,PL,Koszalin,Polska (Adres w rejestrze KRS/CEIDG),PL6691802158,brak,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,KRS API / CEIDG API + web search 2026-08-12,2026-08-12,2026-08-12 ✅ FROZEN (API),brak,duży,brak
XX,Polska,województwo,brak,brak,PL-B-XX-216,B9,Hempking Sp. z o.o.,PL,brak,Polska (Adres w rejestrze KRS/CEIDG),PL5272825467,KRS 0000700277,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,KRS API / CEIDG API + web search 2026-08-12,2026-08-12,2026-08-12 ✅ FROZEN (API),brak,duży,brak
