WP,wielkopolskie,województwo,,2023,PL-A-WP-001,A1,BILLS SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOŚCIĄ,PL,Ostrzeszów,"ul. Ignacego Daszyńskiego 31, 63-500",PL5140361901,KRS 0001074645,https://www.bills.pl,brak,finanse@bills.pl,+48 62 586 07 38,brak,brak,brak,,wyłączność,"PowerMatic, SMOKS tobacco aromas, Intenze e-liquid",nie,Polska producent (PowerMatic via PL/CCE exclusive),duży 🟢,exclusive PL+CEE (BILLS),bills.pl,brak,n/a,n/a,Marceli,właściciel/CEO,KRS API + NIP + www.bills.pl + VIES,2026-08-10,QS: 90/100 | 2026-08-10 ✅ FROZEN (API),✅🐋,duży
MA,małopolskie,województwo,,,PL-B-MA-003,B4,Supra - Papierosy dla klientów hurtowych,PL,Nowy Targ,"Ludźmierska 29, 34-400 Nowy Targ, Polska",,,https://e-supra.pl,,,+48 600 336 100,,,,,reseller,,,,,🔴,mix,3,średni,,,,intake_PL_2026-08-10 | https://e-supra.pl,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Sprzedaż komplementarnych akcesoriów dla palaczy. | orig_uwagi: Status źródłowy: Niezweryfikowany | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=69 | user_orig_segment='S3 — Akcesoria dla palaczy/headshop',duży
MZ,mazowieckie,województwo,,,PL-B-MZ-005,B4,"Sklep po schodkach - piwo, wino, tanie papierosy",PL,Warszawa,"Zamieniecka 92, 04-158 Warszawa, Polska",,,http://www.profinanceline.pl,,,+48 518 985 675,,,,,reseller,,,,,🔴,mix,3,średni,,,,intake_PL_2026-08-10 | http://www.profinanceline.pl,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Sprzedaż komplementarnych akcesoriów dla palaczy. | orig_uwagi: Status źródłowy: Niezweryfikowany | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=69 | user_orig_segment='S3 — Akcesoria dla palaczy/headshop',duży
MZ,mazowieckie,województwo,,,PL-B-MZ-006,B4,Sherlock Trafika,PL,Warszawa,"Centrum LIM hotelu Marriott (podziemia) poziom -1, Al. Jerozolimskie 65/79, 00-697 Warszawa, Polska",,,http://sherlocktrafika.pl,,,+48 606 163 537,,,,,reseller,,,,,🔴,mix,3,średni,,,,intake_PL_2026-08-10 | http://sherlocktrafika.pl,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Sprzedaż komplementarnych akcesoriów dla palaczy. | orig_uwagi: Status źródłowy: Niezweryfikowany | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=69 | user_orig_segment='S3 — Akcesoria dla palaczy/headshop',duży
SL,śląskie,województwo,,,PL-B-SL-004,B4,Selgros,PL,Bytom,"Chorzowska 88a, 41-910 Bytom, Polska",,,http://www.selgros.pl,,,+48 32 768 80 00,,,,,reseller,,,,,🔴,mix,3,średni,,,,intake_PL_2026-08-10 | http://www.selgros.pl,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Sprzedaż komplementarnych akcesoriów dla palaczy. | orig_uwagi: Status źródłowy: Niezweryfikowany | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=69 | user_orig_segment='S3 — Akcesoria dla palaczy/headshop',duży
DS,dolnośląskie,województwo,,,PL-B-DS-001,B4,SOFLY,PL,Świdnica,"Westerplatte 18, 58-100 Świdnica, Polska",,,https://sofly.club,,,+48 531 263 336,,,,,reseller,,,,,🔴,mix,3,średni,,,,intake_PL_2026-08-10 | https://sofly.club,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Sprzedaż komplementarnych akcesoriów dla palaczy. | orig_uwagi: Status źródłowy: Niezweryfikowany | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=69 | user_orig_segment='S3 — Akcesoria dla palaczy/headshop',duży
MA,małopolskie,województwo,,,PL-B-MA-004,B4,SAT Tomasz Sromek,PL,Nowy Sącz,"Romana Stramki 8/10, 33-300 Nowy Sącz, Polska",,,http://hurtowniasat.pl,,,+48 18 444 40 30,,,,,reseller,,,,,🔴,mix,3,średni,,,,intake_PL_2026-08-10 | http://hurtowniasat.pl,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Sprzedaż komplementarnych akcesoriów dla palaczy. | orig_uwagi: Status źródłowy: Niezweryfikowany | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=69 | user_orig_segment='S3 — Akcesoria dla palaczy/headshop',duży
PD,podlaskie,województwo,,,PL-B-PD-004,B4,Redo Sp. z o.o. Hurtownia alkoholu,PL,Augustów,"Tytoniowa 10, 16-300 Augustów, Polska",,,"http://www.redo.pl/?pl,kontakt",,,+48 87 643 23 62,,,,,reseller,,,,,🔴,mix,3,średni,,,,"intake_PL_2026-08-10 | http://www.redo.pl/?pl,kontakt",,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Sprzedaż komplementarnych akcesoriów dla palaczy. | orig_uwagi: Status źródłowy: Niezweryfikowany | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=69 | user_orig_segment='S3 — Akcesoria dla palaczy/headshop',duży
KP,kujawsko-pomorskie,województwo,,,PL-B-KP-004,B4,Polska Grupa Tytoniowa,PL,Bydgoszcz,"Pińczowska 8, 85-877 Bydgoszcz, Polska",,,http://www.b2b.katalogpgt.pl,,,+48 502 494 942,,,,,reseller,,,,,🔴,mix,3,średni,,,,intake_PL_2026-08-10 | http://www.b2b.katalogpgt.pl,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Sprzedaż komplementarnych akcesoriów dla palaczy. | orig_uwagi: Status źródłowy: Niezweryfikowany | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=69 | user_orig_segment='S3 — Akcesoria dla palaczy/headshop',duży
OP,opolskie,województwo,,,PL-B-OP-003,B4,PHUP Gniezno Szeszycki sp.k.,PL,Gniezno,"Orcholska 41, 62-200 Gniezno, Polska",,,http://www.phupgniezno.pl,,,+48 512 984 347,,,,,reseller,,,,,🔴,mix,3,średni,,,,intake_PL_2026-08-10 | http://www.phupgniezno.pl,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Sprzedaż komplementarnych akcesoriów dla palaczy. | orig_uwagi: Status źródłowy: Niezweryfikowany | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=69 | user_orig_segment='S3 — Akcesoria dla palaczy/headshop',duży
DS,dolnośląskie,województwo,,,PL-B-DS-002,B4,P.H Mars sp.j,PL,Kamienna Góra,"58-400 Kamienna Góra, Polska",,,https://hurtowniamars.pl,,,+48 75 744 38 77,,,,,reseller,,,,,🔴,mix,3,średni,,,,intake_PL_2026-08-10 | https://hurtowniamars.pl,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Sprzedaż komplementarnych akcesoriów dla palaczy. | orig_uwagi: Status źródłowy: Niezweryfikowany | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=69 | user_orig_segment='S3 — Akcesoria dla palaczy/headshop',duży
MA,małopolskie,województwo,,,PL-B-MA-005,B4,Mona hurtownia papierosów,PL,Kraków,"Saska 27, 30-720 Kraków, Polska",,,http://www.mona.com.pl,,,+48 697 590 090,,,,,reseller,,,,,🔴,mix,3,średni,,,,intake_PL_2026-08-10 | http://www.mona.com.pl,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Sprzedaż komplementarnych akcesoriów dla palaczy. | orig_uwagi: Status źródłowy: Niezweryfikowany | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=69 | user_orig_segment='S3 — Akcesoria dla palaczy/headshop',duży
LU,lubelskie,województwo,,,PL-B-LU-008,B4,Lever Hurtownia Alkoholu i Papierosów,PL,Kraśnik,"Kolejowa 8, 23-200 Kraśnik, Polska",,,https://leverkrasnik.pl,,,+48 81 825 02 17,,,,,reseller,,,,,🔴,mix,3,średni,,,,intake_PL_2026-08-10 | https://leverkrasnik.pl,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Sprzedaż komplementarnych akcesoriów dla palaczy. | orig_uwagi: Status źródłowy: Niezweryfikowany | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=69 | user_orig_segment='S3 — Akcesoria dla palaczy/headshop',duży
PM,pomorskie,województwo,,,PL-B-PM-004,B4,JUKA AKCESORIA TYTONIOWE JACEK MULARCZYK,PL,Gdańsk,"Jabłoniowa 56B, 80-175 Gdańsk, Polska",,,https://jukaakcesoria.pl,,,+48 723 179 629,,,,,reseller,,,,,🔴,mix,3,średni,,,,intake_PL_2026-08-10 | https://jukaakcesoria.pl,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Sprzedaż komplementarnych akcesoriów dla palaczy. | orig_uwagi: Status źródłowy: Niezweryfikowany | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=69 | user_orig_segment='S3 — Akcesoria dla palaczy/headshop',duży
KP,kujawsko-pomorskie,województwo,,,PL-B-KP-005,B4,Hurtownia Papiernicza GRAFIT,PL,Inowrocław,"Poznańska 223, 88-100 Inowrocław, Polska",,,http://hpgrafit.pl,,,+48 52 391 24 17,,,,,reseller,,,,,🔴,mix,3,średni,,,,intake_PL_2026-08-10 | http://hpgrafit.pl,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Sprzedaż komplementarnych akcesoriów dla palaczy. | orig_uwagi: Status źródłowy: Niezweryfikowany | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=69 | user_orig_segment='S3 — Akcesoria dla palaczy/headshop',duży
MZ,mazowieckie,województwo,,,PL-B-MZ-007,B4,Hurtownia Centrum Wiesław Sacharski,PL,Ostrołęka,"Targowa 39G, 07-410 Ostrołęka, Polska",,,https://centrum-ws.pl,,,+48 29 766 42 22,,,,,reseller,,,,,🔴,mix,3,średni,,,,intake_PL_2026-08-10 | https://centrum-ws.pl,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Sprzedaż komplementarnych akcesoriów dla palaczy. | orig_uwagi: Status źródłowy: Niezweryfikowany | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=69 | user_orig_segment='S3 — Akcesoria dla palaczy/headshop',duży
KP,kujawsko-pomorskie,województwo,,,PL-B-KP-006,B4,Hero Sp. z o.o. PW. Hurtownia nabiałowo - spożywcza,PL,Nakło Nad Notecią,"Przecznica 1, 89-100 Nakło nad Notecią, Polska",,,http://www.hurtowniahero.pl,,,+48 52 385 42 04,,,,,reseller,,,,,🔴,mix,3,średni,,,,intake_PL_2026-08-10 | http://www.hurtowniahero.pl,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Sprzedaż komplementarnych akcesoriów dla palaczy. | orig_uwagi: Status źródłowy: Niezweryfikowany | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=69 | user_orig_segment='S3 — Akcesoria dla palaczy/headshop',duży
MA,małopolskie,województwo,,,PL-B-MA-006,B4,Frega Hurtownia Papierosów Oddział Tarnów,PL,Tarnów,"Czerwona 54A, 33-100 Tarnów, Polska",,,http://frega.com.pl,,,+48 14 626 87 17,,,,,reseller,,,,,🔴,mix,3,średni,,,,intake_PL_2026-08-10 | http://frega.com.pl,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Sprzedaż komplementarnych akcesoriów dla palaczy. | orig_uwagi: Status źródłowy: Niezweryfikowany | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=69 | user_orig_segment='S3 — Akcesoria dla palaczy/headshop',duży
MA,małopolskie,województwo,,,PL-B-MA-007,B4,Firma Handlowa Mariusz Kawa,PL,Tarnów,"Spokojna 20C, 33-100 Tarnów, Polska",,,http://www.squashtarnow.pl,,,+48 14 629 52 52,,,,,reseller,,,,,🔴,mix,3,średni,,,,intake_PL_2026-08-10 | http://www.squashtarnow.pl,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Sprzedaż komplementarnych akcesoriów dla palaczy. | orig_uwagi: Status źródłowy: Niezweryfikowany | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=69 | user_orig_segment='S3 — Akcesoria dla palaczy/headshop',duży
PD,podlaskie,województwo,,,PL-B-PD-005,B4,FLAJ | Sklep i Hurtownia w Augustowie,PL,Augustów,"Tytoniowa 7, 16-300 Augustów, Polska",,,https://flaj.com.pl,,,+48 87 644 53 58,,,,,reseller,,,,,🔴,mix,3,średni,,,,intake_PL_2026-08-10 | https://flaj.com.pl,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Sprzedaż komplementarnych akcesoriów dla palaczy. | orig_uwagi: Status źródłowy: Niezweryfikowany | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=69 | user_orig_segment='S3 — Akcesoria dla palaczy/headshop',duży
OP,opolskie,województwo,,,PL-B-OP-004,B4,Eurocash Cash & Carry Wągrowiec - Hurtownia spożywcza,PL,Wągrowiec,"Gnieźnieńska 72, 62-100 Wągrowiec, Polska",,,https://hurtownie.eurocash.pl/kontakt/mapa-hurtowni/hurtownie.html?provinceId=8&cityId=112,,,+48 67 268 52 12,,,,,reseller,,,,,🔴,mix,3,średni,,,,intake_PL_2026-08-10 | https://hurtownie.eurocash.pl/kontakt/mapa-hurtowni/hurtownie.html?provinceId=8&cityId=112,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Sprzedaż komplementarnych akcesoriów dla palaczy. | orig_uwagi: Status źródłowy: Niezweryfikowany | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=69 | user_orig_segment='S3 — Akcesoria dla palaczy/headshop',duży
KP,kujawsko-pomorskie,województwo,,,PL-B-KP-007,B4,Elroy sp.j. Biuro handlowe,PL,Włocławek,"Wojska Polskiego 18A, 87-810 Włocławek, Polska",,,http://www.elroy.pl,,,+48 54 231 17 10,,,,,reseller,,,,,🔴,mix,3,średni,,,,intake_PL_2026-08-10 | http://www.elroy.pl,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Sprzedaż komplementarnych akcesoriów dla palaczy. | orig_uwagi: Status źródłowy: Niezweryfikowany | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=69 | user_orig_segment='S3 — Akcesoria dla palaczy/headshop',duży
MZ,mazowieckie,województwo,,,PL-B-MZ-008,B4,Carmen Polska Sp. z o.o.,PL,Warszawa,"Łopuszańska 24D, 02-220 Warszawa, Polska",,,http://carmen.biz.pl,,,+48 22 868 14 49,,,,,reseller,,,,,🔴,mix,3,średni,,,,intake_PL_2026-08-10 | http://carmen.biz.pl,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Sprzedaż komplementarnych akcesoriów dla palaczy. | orig_uwagi: Status źródłowy: Niezweryfikowany | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=69 | user_orig_segment='S3 — Akcesoria dla palaczy/headshop',duży
KP,kujawsko-pomorskie,województwo,,,PL-B-KP-008,B4,ASW Trafika,PL,Bydgoszcz,"Jeremiego Przybory 1G, 85-791 Bydgoszcz, Polska",,,https://web.facebook.com/ASW-Trafika-Sklep-Tytoniowy-486411178214372,,,+48 730 720 551,,,,,reseller,,,,,🔴,mix,3,średni,,,,intake_PL_2026-08-10 | https://web.facebook.com/ASW-Trafika-Sklep-Tytoniowy-486411178214372,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Sprzedaż komplementarnych akcesoriów dla palaczy. | orig_uwagi: Status źródłowy: Niezweryfikowany | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=69 | user_orig_segment='S3 — Akcesoria dla palaczy/headshop',duży
PM,pomorskie,województwo,,,PL-B-PM-005,B4,"ABC. Hurtownia papierosów, art. chemiczno - kosmetyczno - higienicznych, Krówka Kaszubska",PL,Władysławowo,"Harcerska 8, 84-120 Władysławowo, Polska",,,http://www.hurtabc.pl,,,+48 58 674 24 40,,,,,reseller,,,,,🔴,mix,3,średni,,,,intake_PL_2026-08-10 | http://www.hurtabc.pl,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Sprzedaż komplementarnych akcesoriów dla palaczy. | orig_uwagi: Status źródłowy: Niezweryfikowany | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=69 | user_orig_segment='S3 — Akcesoria dla palaczy/headshop',duży
OP,opolskie,województwo,,,PL-B-OP-005,B6,Liquider Poland Sp. z o.o. Sp.k.,PL,Jasin,"ul. Poznańska 21, 62-020 Jasin",,,https://b2b.liquider.pl,,b2b@liquider.pl,+48 694 577 879,,,,,producent,,,,duży,🟢,B2B only,2,średni,,,,intake_PL_2026-08-10 | https://b2b.liquider.pl/o-nas | https://liquider.eu/ | https://b2b.liquider.pl,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi. | orig_uwagi: Status źródłowy: Zweryfikowany — aktywna strona/B2B | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=68 | user_orig_segment='S4 — Vape/e-papierosy',duży
WM,warmińsko-mazurskie,województwo,,,PL-B-WM-001,B8,Hurtownia papierosów — Szczytno,PL,Szczytno,"ul. Osuchowskiego 15, Szczytno",,,,,,+48 89 624 07 57,,,,,reseller,,,,średni,🟡,B2B only,5,wysoki,,,,intake_PL_2026-08-10 | https://www.pkt.pl/szukaj/hurtownia-papierosow,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Dostęp do sklepów tytoniowych i tradycyjnego handlu. | orig_uwagi: Status źródłowy: Do weryfikacji — katalog | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=68 | user_orig_segment='S2 — Hurtownie tytoniowe/FMCG',duży
LB,lubuskie,województwo,,,PL-B-LB-003,B8,Hurtownia papierosów — Mostki,PL,Mostki,Mostki 15,,,,,,+48 68 381 12 26,,,,,reseller,,,,średni,🟡,B2B only,5,wysoki,,,,intake_PL_2026-08-10 | https://www.pkt.pl/szukaj/hurtownia-papierosow,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Dostęp do sklepów tytoniowych i tradycyjnego handlu. | orig_uwagi: Status źródłowy: Do weryfikacji — katalog | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=68 | user_orig_segment='S2 — Hurtownie tytoniowe/FMCG',duży
LD,łódzkie,województwo,,,PL-B-LD-003,B8,Hurtownia papierosów — Koluszki,PL,Koluszki,"ul. Sikorskiego 11, Koluszki",,,,,,+48 601 153 355,,,,,reseller,,,,średni,🟡,B2B only,5,wysoki,,,,intake_PL_2026-08-10 | https://www.pkt.pl/szukaj/hurtownia-papierosow,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Dostęp do sklepów tytoniowych i tradycyjnego handlu. | orig_uwagi: Status źródłowy: Do weryfikacji — katalog | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=68 | user_orig_segment='S2 — Hurtownie tytoniowe/FMCG',duży
SL,śląskie,województwo,,,PL-B-SL-005,B8,Hurtownia papierosów — Czerwionka-Leszczyny,PL,Czerwionka-Leszczyny,"ul. Kwiatowa 17, Czerwionka-Leszczyny",,,,,,+48 32 431 37 62,,,,,reseller,,,,średni,🟡,B2B only,5,wysoki,,,,intake_PL_2026-08-10 | https://www.pkt.pl/szukaj/hurtownia-papierosow,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Dostęp do sklepów tytoniowych i tradycyjnego handlu. | orig_uwagi: Status źródłowy: Do weryfikacji — katalog | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=68 | user_orig_segment='S2 — Hurtownie tytoniowe/FMCG',duży
LD,łódzkie,województwo,,,PL-B-LD-004,B8,"EM — hurtownia papierosów, artykułów przemysłowych i spożywczych",PL,Łęczyca,"ul. Tumska, Łęczyca",,,,,,+48 24 721 22 97,,,,,reseller,,,,średni,🟡,B2B only,5,wysoki,,,,intake_PL_2026-08-10 | https://www.pkt.pl/szukaj/hurtownia-papierosow,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Dostęp do sklepów tytoniowych i tradycyjnego handlu. | orig_uwagi: Status źródłowy: Do weryfikacji — katalog | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=68 | user_orig_segment='S2 — Hurtownie tytoniowe/FMCG',duży
PM,pomorskie,województwo,,,PL-B-PM-006,B8,"Dzidek — Hurtownia papierosów, oddział Gdańsk",PL,Gdańsk,"ul. Kościuszki 116, Gdańsk",,,,,,+48 58 341 88 38,,,,,reseller,,,,średni,🟢,B2B only,5,wysoki,,,,intake_PL_2026-08-10 | https://www.pkt.pl/szukaj/hurtownia-papierosow,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Dostęp do sklepów tytoniowych i tradycyjnego handlu. | orig_uwagi: Dodano jako osobny lead, ponieważ w starszej bazie nazwa była ukryta w niepowiązanym polu name_alt. | Status źródłowy: Do weryfikacji — katalog | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=68 | user_orig_segment='S2 — Hurtownie tytoniowe/FMCG'",duży
PM,pomorskie,województwo,,,PL-B-PM-007,B8,"ABC — Hurtownia papierosów, Z. Bonkowski",PL,Kościerzyna,"Rynek 8, Kościerzyna",,,,,,+48 58 686 33 02,,,,,reseller,,,,średni,🟡,B2B only,5,wysoki,,,,intake_PL_2026-08-10 | https://www.pkt.pl/szukaj/hurtownia-papierosow,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Dostęp do sklepów tytoniowych i tradycyjnego handlu. | orig_uwagi: Status źródłowy: Do weryfikacji — katalog | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=68 | user_orig_segment='S2 — Hurtownie tytoniowe/FMCG',duży
MZ,mazowieckie,województwo,,,PL-B-MZ-009,B8,Mewa Hurtownia Marciniak Jerzy,PL,Mińsk Mazowiecki,Mińsk Mazowiecki (Chełmońskiego 6),,,https://minskmaz.com/firmy/pap...,,,,,,,,reseller,,,,średni,🟢,mix,5,wysoki,,,,intake_PL_2026-08-10 | https://minskmaz.com/firmy/pap...,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Dostęp do sklepów tytoniowych i tradycyjnego handlu. | orig_uwagi: Nie potwierdzone | Status źródłowy: Niezweryfikowany | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=68 | user_orig_segment='S2 — Hurtownie tytoniowe/FMCG',duży
OP,opolskie,województwo,,,PL-B-OP-006,B8,KDWT S.A.,PL,Opole,Opole,,,https://biznesfinder.pl/opole/...,,,,,,,,reseller,,,,średni,🟢,mix,5,wysoki,,,,intake_PL_2026-08-10 | https://biznesfinder.pl/opole/...,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Dostęp do sklepów tytoniowych i tradycyjnego handlu. | orig_uwagi: Nie potwierdzone | Status źródłowy: Niezweryfikowany | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=68 | user_orig_segment='S2 — Hurtownie tytoniowe/FMCG',duży
LU,lubelskie,województwo,,,PL-B-LU-009,B8,JAR — Hurtownia Papierosów i Chemii Gospodarczej,PL,Lublin,Lublin (Zamenhofa 125 / Gazowa 9),,,https://w-lubelskie.pl/jar-hur...,,,,,,,,reseller,,,,średni,🟢,mix,5,wysoki,,,,intake_PL_2026-08-10 | https://w-lubelskie.pl/jar-hur...,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Dostęp do sklepów tytoniowych i tradycyjnego handlu. | orig_uwagi: Nie potwierdzone | Status źródłowy: Niezweryfikowany | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=68 | user_orig_segment='S2 — Hurtownie tytoniowe/FMCG',duży
DS,dolnośląskie,województwo,,,PL-B-DS-003,B8,Irba — Zakład Obrotu Towarowego,PL,Jelenia Góra,"Jelenia Góra (serves Głogów, Bolesławiec, Zgorzelec, Kłodzko)",,,https://gowork.pl/dyl-jaroslaw...,,,,,,,,reseller,,,,średni,🟢,mix,5,wysoki,,,,intake_PL_2026-08-10 | https://gowork.pl/dyl-jaroslaw...,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),orig_uzasadnienie: Dostęp do sklepów tytoniowych i tradycyjnego handlu. | orig_uwagi: Nie potwierdzone | Status źródłowy: Niezweryfikowany | orig_next: Dodać do kampanii regionalnej i wykonać follow-up telefoniczny | user_orig_priorytet='B — kampania regionalna' | user_orig_score=68 | user_orig_segment='S2 — Hurtownie tytoniowe/FMCG',duży
